Longitude,Latitude,U,V
-4.638698556790256333e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,1.100000000000000006e-01
-4.638600247267522292e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,1.199999999999999956e-01
-4.638501948955774168e+01,-2.408332547581114724e+01,-5.899999999999999689e-01,1.199999999999999956e-01
-4.638403642189475562e+01,-2.408332547581114724e+01,-5.899999999999999689e-01,1.199999999999999956e-01
-4.638305336795452405e+01,-2.408332547581114724e+01,-5.899999999999999689e-01,1.300000000000000044e-01
-4.638207042617732156e+01,-2.408332547581114724e+01,-5.899999999999999689e-01,1.300000000000000044e-01
-4.638108740030632049e+01,-2.408332547581114724e+01,-5.899999999999999689e-01,1.300000000000000044e-01
-4.638010438769801169e+01,-2.408332547581114724e+01,-5.999999999999999778e-01,1.400000000000000133e-01
-4.637912148724512207e+01,-2.408332547581114724e+01,-5.999999999999999778e-01,1.400000000000000133e-01
-4.637813850218930867e+01,-2.408332547581114724e+01,-5.999999999999999778e-01,1.400000000000000133e-01
-4.637715641579994497e+01,-2.408332547581114724e+01,-5.999999999999999778e-01,1.499999999999999944e-01
-4.637617345834035376e+01,-2.408332547581114724e+01,-6.099999999999999867e-01,1.499999999999999944e-01
-4.637519051459977248e+01,-2.408332547581114724e+01,-6.099999999999999867e-01,1.600000000000000033e-01
-4.637420768295007889e+01,-2.408332547581114724e+01,-6.099999999999999867e-01,1.600000000000000033e-01
-4.637322476675106486e+01,-2.408332547581114724e+01,-6.099999999999999867e-01,1.600000000000000033e-01
-4.637224196263924370e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.637125907397716418e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.637027619908214859e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.636929343622043120e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.636831058885607604e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.636732785356967668e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.636634503368434679e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.799999999999999933e-01
-4.636536222760727810e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.799999999999999933e-01
-4.636437953355768826e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.799999999999999933e-01
-4.636339675499966972e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.799999999999999933e-01
-4.636241399015588627e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.900000000000000022e-01
-4.636143133738034550e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.900000000000000022e-01
-4.636044860005072366e+01,-2.408332547581114724e+01,-6.199999999999999956e-01,1.900000000000000022e-01
-4.635946597478564257e+01,-2.408332547581114724e+01,-6.300000000000000044e-01,2.000000000000000111e-01
-4.635848326496553540e+01,-2.408332547581114724e+01,-6.300000000000000044e-01,2.000000000000000111e-01
-4.635750056889877868e+01,-2.408332547581114724e+01,-6.300000000000000044e-01,2.099999999999999922e-01
-4.635651798489102760e+01,-2.408332547581114724e+01,-6.400000000000000133e-01,2.200000000000000011e-01
-4.635553531632682223e+01,-2.408332547581114724e+01,-6.400000000000000133e-01,2.200000000000000011e-01
-4.635455275981792056e+01,-2.408332547581114724e+01,-6.500000000000000222e-01,2.300000000000000100e-01
-4.635357011871428767e+01,-2.408332547581114724e+01,-6.500000000000000222e-01,2.300000000000000100e-01
